Timestamp,X,Y,Z
2,19,28,30
102,20,-4,28
201,-5,7,39
302,-23,-11,14
403,-29,-40,-15
503,-21,23,-30
604,-18,13,-16
705,-28,-11,30
805,3,8,-21
905,7,32,-8
1006,-2,-19,13
1106,-6,-25,32
1207,-29,-14,-20
1307,-21,-33,19
1407,8,-31,5
1508,30,-2,-14
1608,24,-14,13
1708,22,29,-28
1809,-36,-18,-37
1909,21,-3,-7
2009,-37,-16,10
2109,0,-26,-4
2210,16,-1,-2
2311,-22,40,15
2411,8,20,-14
2512,4,-28,-25
2612,-31,6,-38
2713,-17,-10,-4
2813,10,10,-7
2914,24,38,14
3015,28,2,28
3115,-12,-22,-14
3216,17,-15,-21
3317,-30,12,19
3417,-28,11,24
3517,-14,-40,-2
3618,-12,24,-1
3718,38,-31,-25
3819,-34,23,26
3919,-7,-37,36
4020,-36,12,4
4121,31,-36,-5
4220,29,38,-35
4321,-15,-29,5
4421,-14,-34,40
4522,-14,13,-39
4622,30,9,-36
4722,16,-25,8
4823,-33,5,23
4924,-36,13,-36
5024,-7,-18,-15
5124,17,33,3
5224,2,-14,-2
5325,16,10,21
5425,-3,30,31
5525,-20,29,13
5626,-11,-40,-32
5726,20,36,4
5827,-2,-25,-2
5927,30,34,9
6028,22,18,30
6128,-19,36,-18
6230,39,-2,-27
6330,16,10,-1
6431,29,-20,13
6530,-25,-29,25
6630,36,-35,6
6731,29,-10,-9
6831,15,-37,-39
6931,38,25,12
7032,-10,-36,2
7132,-26,1,28
7232,-14,-39,-32
7333,5,32,-10
7433,-14,19,-39
7533,27,35,-4
7633,-26,8,10
7734,-6,16,-1
7834,4,23,34
7935,18,39,-4
8035,-7,20,14
8136,21,-25,-26
8237,1,-32,-33
8337,38,26,38
8438,18,32,36
8538,39,-24,14
8638,16,33,10
8739,-9,4,-38
8839,34,-22,-38
8940,-5,-21,39
9040,38,-36,4
9140,2,35,21
9241,2,23,37
9341,40,3,10
9441,-31,-10,12
9542,-1,14,37
9643,21,33,16
9743,6,24,-14
9844,-27,-9,12
9944,12,17,-27
10044,26,29,24
10144,-37,-10,12
10244,-9,14,-6
10345,-1,14,33
10445,22,-18,31
10545,-31,36,-28
10646,20,29,23
10748,34,-31,-37
10849,-31,21,17
10952,5,37,-10
11049,16,2,-37
11149,20,9,-19
11253,35,-38,13
11350,27,36,-16
11450,8,-30,-7
11550,-5,14,32
11651,-8,8,9
11751,-37,-2,-26
11851,32,-27,17
11952,27,27,-31
12052,6,19,11
12153,-36,12,-13
12254,0,-22,30
12354,4,30,26
12454,8,32,-17
12555,-20,27,10
12656,38,-18,13
12756,-39,-27,7
12856,25,10,10
12957,-19,36,23
13058,19,-9,36
13159,-3,-21,-11
13259,30,-19,-36
13359,-15,0,-25
13459,28,-23,28
13559,-20,-29,7
13660,37,26,-38
13759,-30,26,-33
13859,39,-9,-33
13959,-31,-40,-35
14060,-27,1,-18
14160,30,-3,32
14260,-6,-31,-19
14361,28,3,-35
14462,34,16,-36
14562,-14,-26,34
14662,-22,-8,-29
14762,-16,14,40
14862,-26,-23,13
14962,25,22,3
15063,35,-27,21
15163,17,-1,-31
15263,-12,26,-2
15363,-9,-31,36
15463,-18,20,-28
15564,-34,13,-33
15665,-11,-28,2
15765,32,0,-24
15866,-18,-4,36
15967,-17,1,-37
16068,11,-5,14
16170,-13,20,-10
16269,-14,-31,-38
16370,9,26,-17
16471,11,9,-35
16571,11,0,30
16672,-9,-29,-32
16773,-25,-28,34
16874,-2,-38,-29
16975,-19,-6,37
17075,30,12,31
17175,-23,11,14
17277,10,-18,4
17376,30,16,-16
17476,34,-14,-21
17577,-21,-15,7
17677,27,-34,-23
17777,19,22,30
17878,-17,4,0
