Timestamp,X,Y,Z
446,33,3,-21
556,29,31,6
666,-5,-24,4
775,23,25,0
884,-6,-27,26
994,19,27,-24
1103,16,-20,23
1212,-21,-18,6
1320,9,-16,-7
1433,10,14,8
1543,-16,-18,27
1653,-36,-24,-35
1763,-28,15,37
1872,-9,35,-6
1982,1,26,-37
2091,33,-1,-23
2201,33,37,-26
2310,20,11,17
2420,38,-32,-36
2528,-16,23,-4
2636,-34,39,-16
2747,8,15,-24
2854,33,-40,-38
2964,8,3,5
3072,-27,-4,10
3182,11,-18,29
3291,-20,17,0
3401,26,-8,37
3509,-12,-20,-5
3619,-21,35,-39
3728,-6,-2,25
3835,30,38,-38
3945,-23,38,-35
4056,-33,22,39
4166,3,-37,-30
4276,-5,-39,-14
4384,33,38,-15
4495,-38,0,-2
4604,27,16,-27
4713,-16,-8,-2
4824,-33,-37,39
4932,-24,-28,-15
5043,18,8,-32
5153,-7,-18,-23
5264,-19,25,-38
5373,21,1,19
5481,-17,38,18
5589,-29,26,-34
5698,9,-10,38
5807,38,35,-10
5915,25,37,-11
6026,31,2,2
6135,19,-2,-16
6245,-17,18,20
6355,-26,-31,2
6464,21,1,5
6574,-26,11,4
6684,-16,26,36
6794,5,-1,-23
6905,-20,-12,0
7014,20,-17,-10
7122,8,4,40
7231,24,-11,8
7340,-9,3,32
7450,-11,29,-14
7559,38,36,-8
7669,35,31,10
7777,-10,10,35
7887,-15,-30,4
7995,-32,-2,-33
8106,-32,-20,14
8214,5,38,15
8324,30,-25,-15
8434,7,-23,38
8543,-3,10,39
8651,-2,5,12
8760,31,-35,12
